model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.273400428584538,0.11343324317533,-2.41023196490955,0.0191339723163794
M2,exp_personal_lagged_1,-0.25486183785938,0.110321933165799,-2.31016472015911,0.024457111360323
M3,exp_personal_lagged_1,-0.273995215218575,0.113824529067737,-2.40717196427425,0.019279966546363
M1,exp_state_nat_lagged_1,-0.0544460158189458,0.0182815981931063,-2.97818687643385,0.00422735112149833
M2,exp_state_nat_lagged_1,-0.0517322313883776,0.0178936618655672,-2.89109248721894,0.00539470284155913
M3,exp_state_nat_lagged_1,-0.0562196593042103,0.0182493275839477,-3.08064278234897,0.00315613309420412
M4,exp_personal_nat_l3,-0.168449198703554,0.0647984343335609,-2.59958748133379,0.0118182371316185
M5,exp_personal_nat_l3,-0.157471555461022,0.0629137733143872,-2.50297426406328,0.0151541936129614
M6,exp_personal_nat_l3,-0.168851383901795,0.0650186395861862,-2.59696888425314,0.0118990503373726
M4,exp_state_nat_lagged_l3,-0.0321912150014118,0.0106334134277098,-3.02736418745123,0.00367674094977252
M5,exp_state_nat_lagged_l3,-0.0310153002887801,0.010458319581597,-2.96561030161635,0.00438000153225253
M6,exp_state_nat_lagged_l3,-0.0332791656041183,0.0106051547558108,-3.13801791396621,0.00267304980477691
