model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.274814644339616,0.11213338413145,-2.45078347066972,0.0367095074535644
M2,exp_personal_lagged_1,-0.274814644339616,0.103105844482316,-2.66536437114144,0.00771024169591796
M1,exp_state_nat_lagged_1,-0.0550933537660403,0.0200833838539799,-2.74323063118283,0.0227271214524389
M2,exp_state_nat_lagged_1,-0.0550933537660403,0.0181686155761143,-3.0323363679107,0.0024366267609949
M3,exp_personal_nat_l3,-0.169311579546377,0.0664389454057369,-2.54837849265075,0.031277845694069
M4,exp_personal_nat_l3,-0.169311579546377,0.059049131240672,-2.86730009382015,0.00415373241837098
M3,exp_state_nat_lagged_l3,-0.0325934637667313,0.0118397579038167,-2.7528826207016,0.0223710750568525
M4,exp_state_nat_lagged_l3,-0.0325934637667313,0.010393518440113,-3.13594130366279,0.00172097299840143
