model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.28054752937906,0.113058574501154,-2.48143522609331,0.0160052590625796
M3,exp_personal_lagged_1,-0.275582377932373,0.114335238998158,-2.41030132395852,0.0191306746813429
M2,exp_state_nat_lagged_1,-0.055365218087824,0.0181606014634487,-3.04864451759794,0.00345986343409464
M3,exp_state_nat_lagged_1,-0.0544990143312311,0.0182990651796132,-2.97824035251527,0.00422671274596827
M4,exp_personal_nat_l3,-0.172821124847575,0.0645620911319481,-2.67682043467852,0.00964824624258735
M6,exp_personal_nat_l3,-0.169851668673274,0.065333129802641,-2.59977853787754,0.0118123604762037
M5,exp_state_nat_lagged_l3,-0.0328239798835314,0.0105599303545921,-3.10835192859559,0.00291344526202762
M6,exp_state_nat_lagged_l3,-0.0322894446390645,0.0106318778939282,-3.03704058316028,0.00357659784859835
