model,term,estimate,std_error,stat,p_value
M1,exp_personal_nat_1g,-0.412631001457291,0.123133026945804,-3.35109930854625,0.00142081777361396
M3,exp_personal_nat_1g,-0.405495650804293,0.124408764021425,-3.25938171634324,0.00187032017815138
M2,exp_state_nat_lagged_1g,-0.0554694425409056,0.0179993675149902,-3.08174398320995,0.00314613803867076
M3,exp_state_nat_lagged_1g,-0.0539756531728198,0.0181027089929017,-2.9816340302429,0.00418638339882058
M4,exp_personal_nat_3g,-0.246563550302256,0.0692988386808113,-3.5579752128015,0.000752857565126826
M6,exp_personal_nat_3g,-0.242253269096138,0.0700485711121405,-3.45836132343536,0.00102479467865498
M5,exp_state_nat_lagged_3g,-0.0328245653335799,0.0104629882740055,-3.13720750458355,0.0026793622126051
M6,exp_state_nat_lagged_3g,-0.031892715823072,0.0105166213674276,-3.03260093796388,0.00362222449350234
