model,term,estimate,std_error,stat,p_value
M1,exp_personal_hh,-0.413011468622573,0.0982994363037673,-4.20156497486186,8.64479894857588e-05
M3,exp_personal_hh,-0.419834310876557,0.0977311740079335,-4.29580750603155,6.2438130723032e-05
M2,exp_state_nat_hh,-0.0487473615914533,0.0165460128262105,-2.94616969680048,0.00452745118513469
M3,exp_state_nat_hh,-0.0454115055207226,0.0174694457312013,-2.59948175915022,0.0116541088626446
M4,exp_personal_hh_l3,-0.254773264883858,0.0580372203115868,-4.38982541748289,4.49847827442972e-05
M6,exp_personal_hh_l3,-0.256509747528821,0.0580230175017471,-4.42082743320092,4.03472851678594e-05
M5,exp_state_nat_hh_l3,-0.0322773669737993,0.00970016089351499,-3.32750841229636,0.00147720055683259
M6,exp_state_nat_hh_l3,-0.0292721005207149,0.0101555837473671,-2.88236513517049,0.00541714075851041
