model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.318781940430197,0.116925258606375,-2.72637361875216,0.008454726128072
M3,exp_personal_lagged_1,-0.313215708159213,0.118236168274819,-2.64906849341734,0.0103821465500229
M2,exp_state_nat_lagged_1,-0.0596656872150258,0.0183721969076338,-3.24760764948225,0.00193689904789506
M3,exp_state_nat_lagged_1,-0.0586391699388714,0.0185151912304501,-3.16708421798168,0.00245565277090754
M4,exp_personal_nat_l3,-0.196866343900156,0.0666553818889016,-2.95349510154011,0.00453188497806031
M6,exp_personal_nat_l3,-0.193554428676857,0.0674539671843249,-2.86942987575437,0.00572820395660075
M5,exp_state_nat_lagged_l3,-0.0352118040573917,0.0107079232550979,-3.28838778711156,0.00171538351303152
M6,exp_state_nat_lagged_l3,-0.0345765467378808,0.0107804690833282,-3.20733230350364,0.00218191037906179
