model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.252497747394308,0.115323571441729,-2.18947214552656,0.0325994730107321
M2,exp_personal_lagged_1,-0.263974573786641,0.114822281147021,-2.29898388317718,0.0251270402370769
M3,exp_personal_lagged_1,-0.25892318410887,0.114222969603957,-2.26682238263136,0.0271458068898492
M4,exp_personal_lagged_1,-0.269892652898914,0.112942941952759,-2.38963717637002,0.0201359807644451
M1,exp_state_nat_lagged_1,-0.0532065359024189,0.0182732910607023,-2.91171063415295,0.00509407206297434
M2,exp_state_nat_lagged_1,-0.0548128734123051,0.0181649205529317,-3.01751242195544,0.00378138115880875
M3,exp_state_nat_lagged_1,-0.0537491104198236,0.0182779362661199,-2.94065531454189,0.00469818453729929
M4,exp_state_nat_lagged_1,-0.0533357990629553,0.0183225063754157,-2.91094449471819,0.00510495938488176
M5,exp_personal_nat_l3,-0.156142992145619,0.0659100599485425,-2.36903125664768,0.0211852912231628
M6,exp_personal_nat_l3,-0.162697267972141,0.0655953545175137,-2.48031692440509,0.0160506013855052
M7,exp_personal_nat_l3,-0.159767331426112,0.0652639711021652,-2.44801731687472,0.0174112192292917
M8,exp_personal_nat_l3,-0.16637834692066,0.064554716604488,-2.57732286147303,0.0125215631186617
M5,exp_state_nat_lagged_l3,-0.0315228730189515,0.0106345554688047,-2.9641928251181,0.0043975241709306
M6,exp_state_nat_lagged_l3,-0.0322614008203277,0.0105474835265351,-3.05868226664353,0.00336176407291963
M7,exp_state_nat_lagged_l3,-0.0317007040280892,0.0106006382322223,-2.99045239858577,0.00408325697473782
M8,exp_state_nat_lagged_l3,-0.0315462955045144,0.0106519288575782,-2.96155709696381,0.00443028005907849
