model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.68333275341937,0.19385718990118,-3.52492860217205,0.000834383533879382
M3,exp_personal_lagged_1,-0.680464298519485,0.193219424592584,-3.52171786017006,0.000842737547127215
M2,exp_state_nat_lagged_1,-0.0667615358840105,0.0292695549617688,-2.280920771471,0.026243807463874
M3,exp_state_nat_lagged_1,-0.0655553454691553,0.0289367798054235,-2.26546788930773,0.0272338948553726
M4,exp_personal_nat_l3,-0.419695846557907,0.112363438340024,-3.73516379311802,0.000430152016934998
M6,exp_personal_nat_l3,-0.417846713685937,0.111948562656982,-3.73248841940246,0.000433847679245768
M5,exp_state_nat_lagged_l3,-0.0439725240347243,0.0168662699506584,-2.60712796388082,0.0115883098841565
M6,exp_state_nat_lagged_l3,-0.0432544486640716,0.0166407792126128,-2.59930428205472,0.0118269528736076
