variable,mean,sd,p10,p50,p90,N
hh_age,50.7910590673586,16.8964630887782,29,49,75,482500
family_size,2.67221761658024,1.52788581049509,1,2,5,482500
total_consumption,6116.34745989272,6144.92526227728,1901.78513793945,4490.2001953125,11478.9625976563,482500
consum_durable,1964.07809935024,4434.45498418965,71.4089782714844,749.999877929688,3980.99953613281,482500
consumption_nondurables,4152.2693605515,3188.68410037281,1537.10807495117,3451.98480224609,7363.29318847656,482500
total_income,47219.0586913817,48925.1508195622,8633.7998046875,33724,1e+05,482500
experience_lambda1_lag,6.1251492144907,0.314407893525195,5.78125095367432,6.08076572418213,6.55548763275147,482500
