model,term,estimate,std_error,stat,p_value
M1,exp_personal_lagged_1,-0.363231622408531,0.124254455840819,-2.92328850463008,0.00505113550370808
M3,exp_personal_lagged_1,-0.364096652693382,0.124568564183519,-2.92286143843628,0.00505710692300874
M2,exp_state_nat_lagged_1,-0.049470017106189,0.0229856824718866,-2.15221006235925,0.0358684360944375
M3,exp_state_nat_lagged_1,-0.0496991299234189,0.0230959428992571,-2.15185542067726,0.0358977448280203
M4,exp_personal_nat_l3,-0.217049303011977,0.0693408352719982,-3.13018010470416,0.00281749260613233
M6,exp_personal_nat_l3,-0.217143267107321,0.069686090077557,-3.11602023970138,0.00293442440583794
M5,exp_state_nat_lagged_l3,-0.0301309040888183,0.0130167500495747,-2.31477934000913,0.0244555751178682
M6,exp_state_nat_lagged_l3,-0.0301547885433871,0.0130713250731001,-2.30694197984898,0.0249210101926274
