Dependent: Variance of Income						
	(1)	(2)	(3)	(4)	(5)	(6)
	Permanent	Transitory	Permanent	Transitory	Permanent	Transitory
VARIABLES	t+2	t+2	t+4	t+4	t+6	t+6
						
exp_personal_lagged_1	0.227	0.189	-0.065	-0.177	0.492	-1.272
	(0.419)	(0.422)	(0.355)	(0.705)	(0.370)	(0.877)
exp_state_nat_lagged_1	0.045	-0.014	-0.003	0.081	-0.019	0.031
	(0.053)	(0.062)	(0.056)	(0.075)	(0.065)	(0.106)
						
Observations	12,966	24,127	12,966	17,672	9,212	13,493
R-squared	0.336	0.446	0.337	0.410	0.374	0.419
