
="",="(1)",="(2)",="(3)",="(4)"
="",="unitprice",="unitprice",="unitprice",="unitprice"

="experience_lambda1_lag",="-0.107***",="-0.106***",="-0.046**",="-0.045**"
="",="(0.037)",="(0.037)",="(0.019)",="(0.020)"

="value",="",="-0.005***",="",="-0.005***"
="",="",="(0.002)",="",="(0.002)"

="N",="2866259",="2866259",="2866259",="2866259"
="R-sq",="0.089",="0.089",="0.355",="0.355"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
