
="",="(1)",="(2)",="(3)",="(4)"
="",="coupon_use",="coupon_use",="coupon_use",="coupon_use"

="experience_lambda1_lag",="0.047***",="0.047***",="0.025***",="0.025***"
="",="(0.006)",="(0.006)",="(0.005)",="(0.005)"

="value",="",="-0.001***",="",="0.001***"
="",="",="(0.000)",="",="(0.000)"

="N",="2869000",="2869000",="2869000",="2869000"
="R-sq",="0.037",="0.038",="0.160",="0.160"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
