Dependent: Variance of Income						
	(1)	(2)	(3)	(4)	(5)	(6)
	Permanent	Transitory	Permanent	Transitory	Permanent	Transitory
VARIABLES	t+2	t+2	t+4	t+4	t+6	t+6
						
exp_personal_nat_l3	0.134	0.126	-0.022	-0.089	0.266	-0.738
	(0.237)	(0.248)	(0.210)	(0.402)	(0.215)	(0.537)
exp_state_nat_lagged_l3	0.028	-0.010	0.001	0.044	-0.011	0.016
	(0.030)	(0.036)	(0.032)	(0.042)	(0.037)	(0.059)
						
Observations	12,966	24,127	12,966	17,672	9,212	13,493
R-squared	0.336	0.446	0.337	0.410	0.374	0.419
